asn,tg_op,size
11232,NULL,652800
174,NULL,28356096
8047,NULL,279040
7459,NULL,306176
4181,NULL,1122816
7017,US15,0
29895,NULL,0
23292,NULL,0
27364,NULL,312320
3356,NULL,38669120
15162,NULL,0
10311,US15,0
19817,NULL,181760
2828,NULL,6882816
18566,NULL,1659904
29859,NULL,1792
22759,NULL,9480
1785,NULL,256
13490,NULL,233984
2152,NULL,2149120
31939,NULL,94208
14051,NULL,154112
5056,NULL,450560
11776,NULL,161024
23456,NULL,0
197522,NULL,4096
24896,NULL,16384
25133,NULL,93952
25385,NULL,22016
28825,NULL,256
29107,NULL,53248
29511,NULL,0
29685,NULL,1536
30779,NULL,17920
30822,NULL,34816
30886,NULL,14080
30955,NULL,0
31148,NULL,171008
31272,NULL,59392
31305,NULL,1280
31725,NULL,12800
33997,NULL,0
34092,NULL,14592
34143,NULL,0
34187,NULL,34304
34204,NULL,1792
34661,NULL,47872
34700,NULL,91136
34743,NULL,47104
35004,NULL,3328
35320,NULL,13312
35680,NULL,0
35804,NULL,18432
35816,NULL,55296
39047,NULL,22016
39529,NULL,5376
39608,NULL,337920
39728,NULL,24064
41435,NULL,26112
41631,NULL,6144
41665,NULL,14336
41820,NULL,5888
42335,NULL,0
42504,NULL,3072
42590,NULL,6144
42833,NULL,0
43011,NULL,256
43139,NULL,29184
43266,NULL,0
43554,NULL,67584
43802,NULL,15872
45025,NULL,31488
47694,NULL,19456
48006,NULL,10752
48323,NULL,3584
48330,NULL,34560
48957,NULL,6144
49223,NULL,52224
49984,NULL,11264
50380,NULL,0
196705,NULL,3584
196767,NULL,13312
21310,NULL,30720
21261,NULL,0
21011,NULL,0
20590,NULL,66048
15742,NULL,2560
15738,NULL,12032
15713,NULL,4864
15595,NULL,4096
15377,NULL,74752
13188,NULL,409344
12507,NULL,4096
12403,NULL,0
8813,NULL,0
8343,NULL,13568
6876,NULL,105216
6846,NULL,24576
5415,NULL,1536
3261,NULL,15360
3255,NULL,91392
43348,NULL,1024
43659,NULL,0
44559,NULL,0
513,NULL,354816
559,NULL,2315776
702,NULL,6441472
1836,NULL,489472
6772,NULL,117504
8220,NULL,1216768
8803,NULL,329984
8821,NULL,99328
8928,NULL,887813
9044,NULL,99840
10100,NULL,13312
12350,NULL,413952
12511,NULL,165888
12620,NULL,50688
15517,NULL,59392
15547,NULL,100096
15600,NULL,271616
15623,NULL,103424
21040,NULL,23552
21232,NULL,30976
21449,NULL,135680
33845,NULL,135168
34781,NULL,34048
41549,NULL,24320
41715,NULL,16384
42496,NULL,0
44885,NULL,28672
25171,NULL,65536
29278,NULL,76544
31219,NULL,16384
31581,NULL,65536
35311,NULL,82944
43529,NULL,45056
44419,NULL,10240
44651,NULL,6144
47421,NULL,2048
2012,NULL,65792
21229,HU06,0
15467,NULL,0
12594,NULL,12544
8990,NULL,65792
8512,NULL,0
8462,NULL,99072
6784,NULL,65536
6711,NULL,65536
3314,NULL,65536
3219,NULL,65792
2547,NULL,65536
1955,NULL,330240
24822,NULL,41216
23563,NULL,204800
23578,NULL,67584
38121,NULL,49152
38661,NULL,619776
38666,NULL,16416
18318,NULL,49152
18313,NULL,147456
18310,NULL,137216
17877,NULL,192512
17871,NULL,67584
17864,NULL,225280
17854,NULL,96256
17849,NULL,313600
17839,NULL,296960
17608,NULL,143360
17573,NULL,56832
10191,NULL,512
10164,NULL,69632
10036,NULL,869120
9981,NULL,136192
9976,NULL,92160
9943,NULL,229376
9871,NULL,8960
9848,NULL,968448
9845,NULL,321536
9781,NULL,106496
9762,NULL,74752
9756,NULL,108544
9698,NULL,65280
9694,NULL,196608
9689,NULL,479232
9638,NULL,6400
9569,NULL,37888
9319,NULL,92160
7562,NULL,144128
6619,NULL,2489600
4668,NULL,411824
4663,NULL,229888
17841,NULL,206496
9683,NULL,0
47956,NULL,68608
50463,NULL,36352
378,NULL,1164800
22927,AR04,3735040
24164,NULL,251136
24165,NULL,19968
18429,NULL,43008
18182,NULL,385024
18049,NULL,259072
17809,NULL,180224
17716,NULL,76800
9924,NULL,2505216
9919,NULL,686592
9416,NULL,1151232
4780,NULL,1813248
4662,NULL,180224
1659,NULL,5938944
18177,NULL,0
8248,NULL,77824
3323,NULL,65536
24413,NULL,4608
18025,NULL,1024
10230,NULL,768
10098,NULL,52992
9729,NULL,87552
9584,NULL,66560
9381,NULL,363520
9293,NULL,126720
9229,NULL,35072
4645,NULL,119808
4616,NULL,82432
4528,NULL,83712
4158,NULL,82944
4058,NULL,274970
2706,NULL,126464
2519,NULL,1678848
44515,NULL,40960
15474,NULL,65536
6677,IS01,143616
31441,NULL,16384
17465,NULL,76032
17488,NULL,965632
18002,NULL,62464
18207,NULL,114688
23682,NULL,18176
23860,NULL,66048
45194,NULL,127745
45528,NULL,223488
45769,NULL,117760
45774,NULL,14848
55577,NULL,12544
45488,NULL,0
18209,NULL,189952
24186,NULL,36608
10029,NULL,126208
39111,NULL,0
47580,NULL,8192
16509,NULL,21058560
17451,NULL,137168
1213,NULL,1839360
702,NULL,6441472
714,NULL,16794880
2873,NULL,0
34317,NULL,0
31034,NULL,297216
137,NULL,2769408
15589,NULL,290048
8928,NULL,887813
48291,NULL,68352
5396,NULL,120064
7385,NULL,1675008
7065,NULL,640256
21284,NULL,0
6939,NULL,518656
6614,NULL,1184256
6298,US09,0
6222,US20,61696
6167,NULL,30079744
5760,NULL,81920
4922,NULL,204800
3595,NULL,121600
3593,US12,177152
3561,NULL,9078528
3549,NULL,6152448
2914,NULL,7216128
2711,NULL,404992
2698,NULL,87808
2686,US19,17768960
2634,NULL,0
2386,US19,992000
1668,NULL,5807360
1239,NULL,18194176
721,NULL,72397824
714,NULL,16794880
237,NULL,5869568
80,NULL,0
71,NULL,33695232
3,NULL,7742464
7377,NULL,17049856
8075,NULL,21563648
8560,NULL,552192
10674,NULL,32512
10835,NULL,116480
10843,NULL,29696
11166,NULL,1024
11194,NULL,73728
11343,NULL,1024
11398,US20,161280
11456,US17,0
12015,NULL,0
12035,NULL,103168
12124,NULL,0
12180,NULL,147712
12440,NULL,41984
41920,NULL,1024
13672,NULL,91648
13675,NULL,3840
13768,NULL,1490432
13807,NULL,35328
14135,NULL,103168
14265,NULL,579072
14572,NULL,2304
14615,NULL,169216
14618,NULL,11898368
14654,US19,974848
14677,NULL,72704
14780,NULL,768
14905,US20,104960
15003,NULL,845312
15169,NULL,5569536
15305,NULL,71688
16718,US20,40960
16810,NULL,0
16817,US01,0
16852,NULL,0
16904,NULL,93440
17184,NULL,587008
17324,NULL,65536
17819,NULL,155904
18097,NULL,88576
18712,NULL,118272
19092,NULL,95744
19181,NULL,1024
19392,NULL,512
19994,NULL,533760
20175,NULL,0
20357,NULL,0
21615,NULL,15104
21788,NULL,768
21844,NULL,0
21864,NULL,0
21928,NULL,12682496
23504,NULL,0
23520,NULL,203776
25653,NULL,253952
25847,NULL,74752
25994,NULL,0
26101,NULL,179200
26611,NULL,4517888
26827,NULL,121088
27357,NULL,281088
29761,NULL,512
29854,NULL,99840
30058,NULL,0
30094,NULL,16384
30340,NULL,20992
30496,NULL,151040
31815,NULL,106496
32107,NULL,0
32244,NULL,246016
32448,NULL,89344
32475,NULL,329472
32855,US20,107264
33070,NULL,696576
33182,NULL,113408
33655,US07,0
33656,US07,0
33665,US07,0
33739,NULL,9216
35902,NULL,1024
36149,NULL,265216
36351,NULL,4555776
36646,NULL,90112
36752,NULL,768
39939,NULL,89088
40285,NULL,96512
46375,NULL,290816
46475,NULL,91904
53318,NULL,0
23456,NULL,0
23974,NULL,0
45223,NULL,69632
45629,NULL,943360
17565,NULL,256
7693,TH02,259840
4750,NULL,452352
4621,NULL,299520
4618,NULL,221184
24718,NULL,0
30890,NULL,12800
34358,NULL,32512
34711,NULL,512
34744,NULL,58624
39737,NULL,50944
41496,NULL,27392
41763,NULL,1024
43890,NULL,768
44139,NULL,256
47148,NULL,9984
48838,NULL,512
49210,NULL,256
49687,NULL,7168
50915,NULL,1024
15471,NULL,79872
8751,NULL,23296
6910,NULL,195328
6663,NULL,65792
5606,NULL,1
5541,NULL,7680
3233,NULL,41984
2614,NULL,130816
47147,NULL,1280
48277,NULL,256
49074,NULL,10496
51474,NULL,7936
56859,NULL,1024
42143,NULL,0
31102,NULL,7168
34979,NULL,0
15858,NULL,0
44739,NULL,1792
35584,NULL,20224
41440,RU22,0
7582,NULL,65536
2042,NULL,256
17564,NULL,5120
9930,NULL,806400
38552,NULL,0
16345,NULL,31504
47395,NULL,55808
28812,NULL,319488
31133,NULL,82176
25490,RU22,195584
28840,NULL,332800
24955,NULL,203776
21479,RU22,33792
8997,RU22,893952
25405,RU22,0
8359,RU21,1162497
12705,RU22,0
8402,RU05,2228224
6828,RU22,16896
21017,RU22,114688
28719,RU22,256
20485,RU23,350464
31213,NULL,73216
12389,RU22,8658944
12768,RU11,122112
15500,RU22,0
12683,RU22,196608
3239,RU22,0
25513,RU21,414464
8732,RU02,145664
42610,RU22,523264
12332,RU22,303104
3216,RU05,864864
39435,RU11,66560
41668,RU11,62976
41843,RU11,61952
25515,RU22,233984
21127,RU23,233472
35154,RU22,147456
39927,NULL,376832
41661,RU11,43776
25008,RU22,0
6767,RU21,0
42116,RU11,57600
42420,NULL,0
25436,RU22,256
13174,NULL,23560
33934,RU22,155648
8570,RU22,106496
31094,RU22,0
8675,RU22,75776
29456,RU22,81920
8615,NULL,278528
2878,RU22,0
43468,RU22,0
39229,RU22,0
34584,RU22,78080
44775,NULL,0
6856,NULL,61440
34449,RU22,0
31036,NULL,95232
20632,NULL,284416
34590,RU11,40192
42682,RU11,116992
41682,RU11,57088
35807,RU20,273152
31163,NULL,52480
42145,NULL,21504
44677,NULL,69632
21487,RU22,73728
28890,NULL,84992
29497,NULL,72448
12714,NULL,1206272
24699,RU22,28672
21453,NULL,107520
31200,NULL,566272
5591,RU22,0
8439,NULL,87040
34168,RU22,16384
41786,RU11,22272
24612,RU22,0
28884,NULL,15104
31224,NULL,12544
34145,NULL,97536
31514,NULL,139264
31208,NULL,15360
34875,RU22,0
35531,RU22,0
34137,RU22,90112
47241,NULL,57344
13304,NULL,0
47313,NULL,19456
41727,RU11,41216
15774,RU23,189952
41754,RU11,47360
35125,RU22,24576
13118,RU22,115200
31205,NULL,16640
41822,RU21,24064
35473,NULL,1024
42825,RU22,0
12668,NULL,144384
12730,RU22,49152
8369,NULL,326912
44507,NULL,41984
29209,NULL,1280
43132,NULL,14848
41704,NULL,36352
35177,RU22,24576
31195,NULL,23040
42038,NULL,46080
43478,RU11,35328
39811,NULL,10496
31585,NULL,32768
42683,RU11,28160
12958,NULL,210688
42754,NULL,0
13056,RU22,65536
48212,NULL,32768
8594,RU22,30720
41592,NULL,0
40993,NULL,14336
25159,NULL,104704
3226,NULL,61440
8371,RU05,73984
15582,RU02,71680
34533,RU11,98560
38951,NULL,16384
41733,NULL,274432
50543,RU11,61696
51034,NULL,16896
5408,NULL,245504
7643,VN03,19456
18747,NULL,309248
43242,NULL,17152
21502,NULL,1632448
34464,NULL,0
23674,NULL,73728
23966,NULL,64256
38193,NULL,34562
9387,PK06,51457
26105,NULL,0
21599,NULL,110080
18809,NULL,403200
3551,NULL,62976
52284,NULL,4096
23944,NULL,130048
45499,NULL,8960
17639,NULL,152832
9386,NULL,24576
25137,NULL,0
1930,NULL,329728
36423,PR02,155136
36810,NULL,0
16649,NULL,65792
5786,NULL,65536
29170,NULL,13568
31042,RS04,516352
33983,NULL,11264
35573,NULL,19456
41897,NULL,55040
51052,NULL,23296
21215,RS04,0
15926,NULL,0
13303,NULL,65536
13092,NULL,74752
13091,NULL,48640
12558,NULL,0
8771,NULL,74752
8661,NULL,41984
6700,RS03,73472
44712,NULL,3072
41937,NULL,44800
25496,NULL,5120
29405,NULL,39168
31117,NULL,55808
31127,NULL,21504
34820,NULL,4096
35328,NULL,24064
42841,NULL,17408
48326,NULL,8192
16295,NULL,0
16160,NULL,117248
8264,NULL,40960
8257,NULL,82944
5610,NULL,1587456
5578,NULL,218368
2607,NULL,558592
2107,NULL,374272
35471,NULL,3072
42613,NULL,32768
44647,NULL,25600
9119,NULL,88832
12810,NULL,132864
29975,NULL,2050560
33762,ZA01,128000
36874,NULL,177408
36937,NULL,1056512
2018,NULL,1339904
16637,NULL,3806976
12258,ZA04,54784
10474,ZA04,1443584
5713,NULL,1977088
3741,NULL,2947840
174,NULL,28356096
29119,NULL,480000
43904,NULL,0
12334,NULL,500736
766,NULL,1574400
13143,ES02,0
15732,NULL,114688
11845,ZA05,240128
37130,NULL,462592
38229,NULL,33792
5087,NULL,33536
42910,NULL,57344
12978,TR04,410112
12735,NULL,158208
8517,NULL,296448
34296,TR05,109824
38550,NULL,0
24326,NULL,0
45133,NULL,65536
17645,NULL,82944
9877,NULL,65536
9419,NULL,65536
9292,NULL,65536
7634,NULL,52736
7472,NULL,65536
109,NULL,1165568
46078,NULL,2816
24163,NULL,80384
38839,NULL,0
15201,NULL,0
9800,CN04,0
9929,CN04,711424
17623,CN04,648704
17672,CN02,0
17785,CN02,1280
17799,CN02,227840
1257,DE09,5048064
17820,IN06,67328
5486,IL03,2048
8584,IL04,0
25351,NO06,0
21483,RU05,23808
12970,ES02,0
20921,ES04,106752
12429,CH03,27648
5417,NL03,512
8209,NL05,0
8341,NL06,0
20689,NL03,0
30776,NL06,0
12918,FI01,0
13066,ES02,0
5561,HU03,0
8642,DK02,0
1902,CZ01,5376
17430,CN05,1128448
31338,RU21,0
1257,BE03,5048064
15512,CZ04,0
9837,AU02,0
22291,US04,1024
31312,GB04,0
8425,HU06,0
9457,NULL,992256
16054,RU22,12288
6197,US19,9728
18822,CL02,118272
22909,US07,4608
23779,JP06,65536
29101,HU03,0
19548,US15,0
8642,SE03,0
13571,CA09,0
31513,PT04,0
16967,US19,82176
16012,RU21,0
6830,SE01,11363072
12375,FI01,0
15833,PL02,0
19157,US04,1792
9277,KR06,4096
9196,IE05,0
8493,CH01,0
15605,NULL,17152
34033,FR05,512
8434,NO04,0
4670,NULL,467200
12435,DK03,0
13177,SE03,0
3257,IT03,1307137
11707,US15,0
24828,CZ04,0
8052,US15,13056
1257,DK02,5048064
6731,RU21,256
8638,DE13,0
6830,NO01,11363072
19444,US04,0
6721,CZ01,0
19115,US04,36096
9345,NZ03,16384
30947,PT04,0
9238,IN06,53248
29372,FR06,0
6837,CH03,0
6813,ES05,14080
8394,NO04,0
8984,SE03,0
15485,CZ01,0
3246,DK01,841984
16629,CL03,241152
3505,US17,0
6198,US19,8704
8733,BE04,0
8266,BE01,1024
31408,NULL,10752
4763,NZ03,0
19632,CL05,0
12708,GB04,279552
800,CA05,0
5089,IE08,9473536
16202,DE08,123904
6728,GB04,0
12424,ES03,0
31070,PT04,0
8807,DK02,0
9727,NULL,0
6830,BE04,11363072
4355,NULL,0
13407,NULL,0
12358,NULL,0
42036,NULL,44800
8387,NULL,190208
2647,NULL,16778240
1111,NULL,65536
1776,NULL,65536
21079,NULL,65792
1114,NULL,65536
16509,NULL,21058560
1117,NULL,65536
199083,NULL,65536
2494,NULL,65536
6262,NULL,534016
2036,NULL,65536
17477,NULL,384512
12311,NULL,65536
31382,NULL,66560
6883,NULL,65536
4826,NULL,239872
8390,NULL,57344
9503,NULL,194304
7475,NULL,151296
8262,NULL,50176
48452,NULL,14080
16154,NULL,18432
201360,NULL,0
21230,NULL,35840
29687,NULL,23040
12796,NULL,13312
200002,NULL,0
53037,NULL,1147392
16397,NULL,78592
1403,NULL,245760
16276,NULL,2724352
28271,NULL,24576
52733,NULL,0
22368,CO02,144128
1257,NULL,5048064
17638,CN02,722944
24444,NULL,2028032
56040,NULL,1972224
56041,NULL,2942464
5588,CZ01,1368837
197451,NULL,67072
2571,NULL,86272
6740,NULL,41984
43708,NULL,24064
198403,NULL,5120
51207,NULL,1058816
5588,HU02,1368837
50613,NULL,18688
60300,NULL,34816
21268,IS04,0
6775,NULL,8192
1273,NULL,2818048
17665,NULL,28928
23772,NULL,178176
24554,NULL,80128
38457,NULL,39936
9605,NULL,2658816
4686,NULL,179456
9198,KZ02,1487104
29355,NULL,687104
21299,NULL,356096
39725,KZ02,256
15965,NULL,20992
12709,MT02,290048
15735,MT01,172032
33874,NULL,55552
22566,NULL,190208
28545,MX02,34560
36903,MA01,1632256
1136,NULL,6701824
20940,NULL,2424224
16625,NULL,4568064
35916,NULL,2258432
21286,NULL,274688
1128,NULL,196608
33915,NULL,3753984
56030,NULL,77056
57043,NULL,13568
23905,NULL,65792
45172,NULL,65280
41483,NULL,16384
45814,NULL,60928
55714,NULL,68352
132165,NULL,208896
21575,NULL,519168
132199,NULL,290560
16276,NULL,2724352
62005,NULL,1024
8926,NULL,562688
197207,NULL,1820672
34714,NULL,8960
5588,NULL,1368837
57217,NULL,4608
50157,NULL,256
39543,NULL,24832
12632,NULL,2816
9112,NULL,73728
15855,NULL,67072
21111,NULL,65536
41201,NULL,65536
34339,NULL,65536
5550,NULL,65536
12324,NULL,65536
8970,NULL,65536
8323,NULL,57856
6778,NULL,0
29649,NULL,52480
15694,NULL,77312
30851,NULL,56832
42739,NULL,49152
12618,NULL,47104
8342,NULL,350464
58313,NULL,0
2854,NULL,265472
13238,NULL,205824
12695,NULL,214534
3267,NULL,272640
44050,NULL,128257
2118,NULL,79872
48347,NULL,77826
6690,NULL,0
1257,NULL,5048064
39272,NULL,0
12772,RU20,124160
42362,RU22,47104
3253,RU05,107264
34602,NULL,100352
41691,NULL,71424
2895,NULL,132096
47165,NULL,89088
60496,NULL,95488
16301,RU22,90112
39891,NULL,829440
20597,NULL,88064
34974,NULL,73728
34123,NULL,106752
197498,NULL,9728
6854,NULL,82176
5523,NULL,74752
8470,NULL,73728
30868,NULL,73728
8377,NULL,8192
25532,NULL,77824
42277,NULL,70656
21246,NULL,77824
15468,NULL,69632
12418,NULL,68608
48781,NULL,19200
25086,NULL,67840
35728,NULL,67584
29190,NULL,74752
15640,NULL,67072
2875,NULL,65536
8443,NULL,65536
48524,NULL,64512
21378,NULL,16384
6863,NULL,61696
51570,RU11,90880
8492,NULL,65024
8905,NULL,57344
8580,NULL,65536
5563,NULL,55296
8331,NULL,61696
44281,NULL,0
31214,NULL,58368
50195,NULL,65536
41134,NULL,45056
42293,NULL,0
2683,NULL,40448
2905,NULL,13056
39102,NULL,55808
34267,NULL,55296
35000,NULL,77824
25408,NULL,59904
37457,ZA02,1294080
8427,NULL,49152
49505,NULL,105984
12091,NULL,68096
51604,NULL,80384
48642,NULL,61952
39493,NULL,53248
12688,NULL,35840
48172,NULL,256
20807,NULL,52224
50923,NULL,93184
44546,NULL,526336
41560,NULL,50176
28745,NULL,46592
6801,NULL,40960
2820,NULL,0
49342,NULL,52224
16285,NULL,41472
51645,NULL,43264
8334,NULL,48128
42368,NULL,6144
24739,NULL,56064
52207,NULL,57600
39134,NULL,12544
30922,NULL,45056
8595,NULL,71936
34456,NULL,46080
15974,NULL,44032
51964,NULL,2976768
30881,NULL,38912
15756,NULL,7168
58272,NULL,24064
8416,NULL,41984
56736,NULL,203264
35539,NULL,43009
31257,NULL,42496
39812,NULL,40448
6830,CH01,11363072
15585,NULL,81920
8640,NULL,73728
15675,NULL,69376
49071,NULL,70144
49335,NULL,14592
44776,NULL,2304
8883,NULL,4608
34578,NULL,67072
23969,TH01,1286144
131445,NULL,172288
31365,NULL,16384
47331,TR01,123904
57166,NULL,0
29632,NULL,134656
49858,NULL,256
48683,NULL,51200
6712,NULL,56320
45543,VN05,196608
1273,NULL,2818048
16223,NULL,36864
45903,NULL,66304
1290,NULL,596480
48437,NULL,34816
34867,NULL,33796
5503,NULL,762880
9205,NULL,33792
1668,NULL,5807360
25500,NULL,32768
8426,NULL,1032448
5413,NULL,767232
15683,NULL,28416
8928,NULL,887813
60339,NULL,528384
47800,NULL,24832
3356,NULL,38669120
49125,NULL,26624
15395,NULL,390144
35362,NULL,24576
3254,NULL,25088
43120,NULL,33024
51784,NULL,33792
48045,NULL,24576
44924,NULL,0
39906,NULL,60672
41911,NULL,26624
24881,NULL,22272
47702,NULL,9216
34056,NULL,18432
29442,NULL,8448
15772,NULL,25857
3651,NULL,4570880
306,NULL,5047040
11003,NULL,4689408
35994,NULL,12785408
10455,NULL,4588800
4249,NULL,11534592
668,NULL,2897408
4152,NULL,3080448
1761,NULL,2690048
16509,NULL,21058560
81,NULL,3495936
1660,NULL,0
20940,NULL,2424224
3479,NULL,1771520
4565,NULL,1798912
10695,NULL,1704448
27064,NULL,1847040
210,NULL,1510400
18676,NULL,1507328
2687,NULL,1344768
600,NULL,1446656
13335,NULL,1460224
4010,NULL,1178624
1226,NULL,1169152
18779,NULL,1470720
109,NULL,1165568
46690,NULL,1049088
72,NULL,1131264
5006,NULL,1211136
16625,NULL,4568064
22284,NULL,1165312
7155,NULL,1142528
8103,NULL,986880
297,NULL,800000
7792,NULL,1075712
3371,NULL,1367808
1906,NULL,932096
6461,NULL,860672
6325,NULL,817408
51964,NULL,2976768
3491,NULL,1059328
395,NULL,1024
665,NULL,191232
387,NULL,1536
2572,NULL,787968
26496,NULL,992256
157,NULL,480256
19773,NULL,736256
7046,NULL,807936
440,NULL,394752
3354,NULL,786944
32392,NULL,0
36352,NULL,789760
10722,NULL,0
4193,NULL,644352
2381,NULL,631552
31822,NULL,676096
18978,NULL,686592
87,NULL,631040
4436,NULL,0
13354,NULL,66048
22898,NULL,37120
36647,NULL,192512
46606,NULL,647168
31377,NULL,0
22017,NULL,0
1767,NULL,519936
37978,NULL,136960
60974,NULL,768
8075,NULL,21563648
42114,NULL,65536
41701,NULL,132096
51896,IS03,15360
55410,NULL,268544
5532,MT01,29952
18734,NULL,232960
45138,NULL,20480
199590,NULL,0
3210,NULL,20992
49287,NULL,1024
44348,NULL,0
43660,NULL,17408
8641,NULL,44288
58115,NULL,0
15576,NULL,42752
41018,NULL,3584
42331,NULL,15360
36925,NULL,2408448
30983,NULL,16384
36666,NULL,28416
5434,NULL,0
35566,NULL,15104
48503,NULL,31744
50482,KZ02,40960
15736,NULL,26112
39824,NULL,49408
20521,NULL,20224
12046,NULL,13568
34558,NULL,8192
15892,NULL,8192
35356,NULL,6144
35713,NULL,0
3132,NULL,98816
19180,PE03,135936
3549,NULL,6152448
262210,NULL,68352
27843,NULL,75776
52400,NULL,17408
51964,NULL,2976768
36935,NULL,2150144
20928,NULL,196608
15804,NULL,73984
6127,NULL,14592
7602,VN02,124928
48030,NULL,1024
1668,NULL,5807360
50528,NULL,29952
21305,NULL,8704
34748,NULL,31744
29485,NULL,37120
39211,NULL,28672
35753,SA03,154624
35388,NULL,0
5080,NULL,68608
13041,NULL,312064
